OBJECTID,GEO.id,acs_mi
707,1400000US24033803612,46111
708,1400000US24033803700,59813
709,1400000US24033803801,55870
710,1400000US24033803803,60481
711,1400000US24033803900,65890
712,1400000US24033804002,54934
713,1400000US24033804101,66654
714,1400000US24033804102,60211
715,1400000US24033804200,88245
716,1400000US24033804300,50877
717,1400000US24033804600,52813
718,1400000US24033804700,69479
719,1400000US24033804801,41549
720,1400000US24033804802,34909
721,1400000US24033805000,51765
722,1400000US24033805101,44844
723,1400000US24033805201,50897
724,1400000US24033805202,52603
725,1400000US24033805500,62917
726,1400000US24033805602,50621
727,1400000US24033805700,55208
728,1400000US24033805801,73045
729,1400000US24033805802,74250
730,1400000US24033805906,47716
731,1400000US24033805907,50036
732,1400000US24033805908,43478
733,1400000US24033805909,44231
734,1400000US24033806000,46821
735,1400000US24033806100,74441
736,1400000US24033806300,52404
737,1400000US24033806400,128065
738,1400000US24033806501,49784
739,1400000US24033806601,55625
740,1400000US24033806706,72055
741,1400000US24033806708,59917
742,1400000US24033806710,90052
743,1400000US24033803607,100982
744,1400000US24031701417,59217
745,1400000US24033801908,56984
746,1400000US24033807405,75607
747,1400000US24031704502,175742
748,1400000US24031700832,67241
749,1400000US24031700833,71545
750,1400000US24031700834,83413
751,1400000US24031700835,126652
752,1400000US24031700902,58966
753,1400000US24031700903,66912
754,1400000US24031700904,59478
755,1400000US24031700905,72025
756,1400000US24031701001,91705
757,1400000US24031701004,94063
758,1400000US24031701005,130144
759,1400000US24031701006,129063
760,1400000US24031701007,96250
761,1400000US24031701101,89939
762,1400000US24031701201,80509
763,1400000US24031701202,114635
764,1400000US24031701205,163715
765,1400000US24031701206,134531
766,1400000US24031701211,110938
767,1400000US24031701212,130743
768,1400000US24031701213,102748
769,1400000US24031701214,80679
770,1400000US24031701216,91071
771,1400000US24031701218,62870
772,1400000US24031701219,64707
773,1400000US24031701220,185804
774,1400000US24031701221,120855
775,1400000US24031701303,129318
776,1400000US24031701306,129844
777,1400000US24031701307,144511
778,1400000US24031701308,175982
779,1400000US24031701312,136563
780,1400000US24031701314,85588
781,1400000US24031701315,88529
782,1400000US24031701316,114083
783,1400000US24031701317,179280
784,1400000US24031701408,130281
785,1400000US24031701410,79924
786,1400000US24031701414,66920
787,1400000US24031701415,93144
788,1400000US24031701418,108087
789,1400000US24031701420,66881
790,1400000US24031701421,69833
791,1400000US24031701423,70857
792,1400000US24031701503,96657
793,1400000US24031701505,74583
794,1400000US24031701506,123309
795,1400000US24031701507,131875
796,1400000US24031701509,49044
797,1400000US24031701602,64363
798,1400000US24031701701,61452
799,1400000US24031701702,56949
800,1400000US24031701703,83472
801,1400000US24031701704,81903
802,1400000US24031701800,65556
803,1400000US24031702000,47034
804,1400000US24031702101,59429
805,1400000US24031701407,122813
806,1400000US24031702200,103551
807,1400000US24031702301,64192
808,1400000US24031702302,65250
809,1400000US24031702401,121118
810,1400000US24031702402,66017
811,1400000US24031702601,66744
812,1400000US24031702602,56635
813,1400000US24031702700,77050
814,1400000US24031702800,85290
815,1400000US24031702900,101905
816,1400000US24031703000,92857
817,1400000US24031703100,99464
818,1400000US24031703202,100417
819,1400000US24031703206,94250
820,1400000US24031703207,54205
821,1400000US24031703208,111835
822,1400000US24031703210,105313
823,1400000US24031703212,106554
824,1400000US24031703213,41639
825,1400000US24031703214,47952
826,1400000US24031703215,85083
827,1400000US24031703216,51034
828,1400000US24031703219,52098
829,1400000US24031703220,51935
830,1400000US24031703221,103068
831,1400000US24031703302,80300
832,1400000US24031703401,73643
833,1400000US24031703403,68750
834,1400000US24031703404,57098
835,1400000US24031703501,51429
836,1400000US24031703502,65069
837,1400000US24031703601,70795
838,1400000US24031703701,63228
839,1400000US24031703702,80536
840,1400000US24031703800,54271
841,1400000US24031703901,107589
842,1400000US24031704000,71750
843,1400000US24031704100,166014
844,1400000US24031704200,88558
845,1400000US24031704300,130989
846,1400000US24031704401,135536
847,1400000US24031704404,143194
848,1400000US24031704501,112037
849,1400000US24031704503,173274
850,1400000US24031704600,135278
851,1400000US24031704700,221641
852,1400000US24031704803,69949
853,1400000US24031704805,60250
854,1400000US24031704806,79861
855,1400000US24031705000,131897
856,1400000US24031705100,161111
857,1400000US24031705200,190909
858,1400000US24031705400,204911
859,1400000US24031705501,99600
860,1400000US24031705502,162188
861,1400000US24031705702,183792
862,1400000US24031705800,179022
863,1400000US24031705902,180417
864,1400000US24031705903,193173
865,1400000US24031706005,195441
866,1400000US24031706007,190801
867,1400000US24031706008,"250,000+"
868,1400000US24031706009,235833
869,1400000US24031706010,129231
870,1400000US24031706012,62042
871,1400000US24031706013,205045
872,1400000US24033800102,61085
873,1400000US24033800103,56659
874,1400000US24033800105,67574
875,1400000US24033800108,57400
876,1400000US24033800109,64089
877,1400000US24033800203,116359
878,1400000US24033800206,77773
879,1400000US24033800208,87108
880,1400000US24033800210,57643
881,1400000US24033800211,54297
882,1400000US24033800212,87206
883,1400000US24033800213,71940
884,1400000US24033800215,68090
885,1400000US24033800401,113295
886,1400000US24033800402,92463
887,1400000US24033800403,115565
888,1400000US24033800409,115083
889,1400000US24033800410,120243
890,1400000US24033800411,88182
891,1400000US24033800412,54819
892,1400000US24033800504,106250
893,1400000US24033800505,90096
894,1400000US24033800507,96653
895,1400000US24033800509,105774
896,1400000US24033800511,85085
897,1400000US24033800513,92074
898,1400000US24033800515,81937
899,1400000US24033800516,81026
900,1400000US24033800517,142135
901,1400000US24033800518,157083
902,1400000US24033800520,100167
903,1400000US24033800601,98447
904,1400000US24033800604,100809
905,1400000US24033800605,102244
906,1400000US24033800606,77485
907,1400000US24033800607,133281
908,1400000US24033800608,143750
909,1400000US24033800701,118169
910,1400000US24033800705,133485
911,1400000US24033800706,130147
912,1400000US24033800707,80568
913,1400000US24033800800,111314
914,1400000US24033800900,49643
915,1400000US24033801003,79519
916,1400000US24033801004,106709
917,1400000US24033801104,52382
918,1400000US24033801207,119087
919,1400000US24033801208,107663
920,1400000US24033801210,76484
921,1400000US24033801211,93367
922,1400000US24033801212,89250
923,1400000US24033801213,77500
924,1400000US24033801214,70375
925,1400000US24033801215,104643
926,1400000US24033801217,97527
927,1400000US24033801302,97714
928,1400000US24033801305,92015
929,1400000US24033801307,132625
930,1400000US24033801309,120030
931,1400000US24033801310,126917
932,1400000US24033801311,107287
933,1400000US24033801312,95750
934,1400000US24033801404,81790
935,1400000US24033801405,62599
936,1400000US24033801406,56285
937,1400000US24033801407,81067
938,1400000US24033801408,64103
939,1400000US24033801410,106599
940,1400000US24033801411,82056
941,1400000US24033801500,73254
942,1400000US24033801600,50917
943,1400000US24033801701,72452
944,1400000US24033801704,51340
945,1400000US24033801706,62917
946,1400000US24033801707,54013
947,1400000US24033801708,57702
948,1400000US24033801802,53550
949,1400000US24033801804,70000
950,1400000US24033801807,62104
951,1400000US24033801808,54276
952,1400000US24033801901,81927
953,1400000US24033801904,63598
954,1400000US24033801905,90262
955,1400000US24033801906,68359
956,1400000US24033801907,60625
957,1400000US24033802001,50414
958,1400000US24033802002,68664
959,1400000US24033802103,79177
960,1400000US24033802106,43252
961,1400000US24033802107,50663
962,1400000US24033802201,50958
963,1400000US24033802204,76500
964,1400000US24033802301,69351
965,1400000US24033802404,47973
966,1400000US24033802405,52836
967,1400000US24033802407,54072
968,1400000US24033802408,39788
969,1400000US24033802501,52287
970,1400000US24033802502,70061
971,1400000US24033802700,51563
972,1400000US24033802803,62019
973,1400000US24033802804,63845
974,1400000US24033802805,52582
975,1400000US24033802901,48077
