GEO_ID,AREA,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC38,HC02_VC38_x,HC03_VC38_x,HC01_VC43,HC02_VC38_y,HC03_VC38_y
1400000US11001008802,4.95E-05,309,144,165,122,44,78,109,48,61,62,36,26,16,16,0,69.5,71.6,67.4,11.3,22.2,0,69.7,63.2,77,8.7,5.7,12.1,60.3,56.3,63.2,12.1,12.9,11.6,36.2,22.7,43.1,2.4,22.7,43.1
1400000US11001004700,6.92E-05,390,158,232,173,39,134,158,91,67,42,18,24,17,10,7,78.6,73.8,80.8,12.8,22.1,8.7,71.6,75.9,69.1,7.1,7.3,7,62.3,51.1,69.3,17.2,17.6,16.9,29.6,24.6,31.9,4.9,24.6,31.9
1400000US11001008903,3.07E-05,147,64,83,45,19,26,76,25,51,26,20,6,0,0,0,77.6,84.8,72.2,6.6,3.7,8.8,57.5,55.5,59.6,10.8,13.1,8.3,54.8,64.1,48,10.9,10.1,11.5,39.6,45,36.5,5.9,45,36.5
1400000US11001005202,1.79E-05,178,57,121,15,15,0,11,8,3,76,14,62,76,20,56,93.4,90.2,100,68.9,74.2,57.9,82,86.8,71.4,39.6,48.7,20,74.2,82.8,57.6,50.5,53.1,45.5,76.3,100,70,39.5,100,70
1400000US11001005100,3.97E-05,32,16,16,8,0,8,0,0,0,0,0,0,24,16,8,94.4,95.7,92.6,62.3,65.4,58.2,89,86.7,100,54.1,60.8,23.1,81.2,100,71.4,17.6,31,10.7,85.3,81.4,86.7,48.2,81.4,86.7
1400000US11001008904,4.59E-05,294,120,174,146,54,92,99,37,62,44,24,20,5,5,0,82.3,92.8,75.9,5.5,9.2,3.2,72.2,55.6,81.9,5.2,2.3,6.8,61.6,64.4,59.4,0.8,0,1.5,27.4,27.5,27.4,4.1,27.5,27.4
1400000US11001005600,4.92E-05,2367,1003,1364,9,0,9,353,175,178,1594,655,939,411,173,238,98.1,96.2,100,84.5,84.8,84.1,94.9,90.6,100,78.1,73.2,83.8,95.6,95.3,95.9,70.7,78.9,62.9,89.6,93.7,87.1,56.9,93.7,87.1
1400000US11001007807,5.56E-05,197,154,43,74,58,16,71,58,13,31,17,14,21,21,0,73.8,77.5,71.8,6.2,16.9,0,74.6,70,76.8,6.1,8.9,4.7,65.9,62.7,68.5,9.3,11.5,7.5,39.3,28.7,45.2,4.5,28.7,45.2
1400000US11001008410,2.24E-05,144,86,58,59,37,22,44,26,18,41,23,18,0,0,0,82.9,94.3,71,26.3,36.2,16,71.6,67.4,77,20.2,19.4,21.2,72.1,70.2,74.1,15.3,5.3,25.9,19.5,6.6,26.5,2.9,6.6,26.5
1400000US11001007809,5.62E-05,199,65,134,94,45,49,72,20,52,33,0,33,0,0,0,78.4,85.7,71.4,13.5,9.3,17.5,71.1,65.6,76.1,6,2.8,8.8,69.1,75.5,63.4,14.3,19.1,10.1,50,45,52.3,2.9,45,52.3
