OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
194,1400000US51059431900,42.0,3433,1743,50.8,1690,49.2,111,3.2,37.9,3335,1709,51.2,1626,48.8,228,6.8
195,1400000US51059432300,39.4,4949,2453,49.6,2496,50.4,224,4.5,41.0,5267,2622,49.8,2645,50.2,262,5.0
196,1400000US51059432702,,,,,,,,,38.3,4227,2242,53.0,1985,47.0,582,13.8
197,1400000US51059440600,37.9,2437,1243,51.0,1194,49.0,87,3.6,38.2,3099,1460,47.1,1639,52.9,170,5.5
198,1400000US51059450200,30.5,4596,2409,52.4,2187,47.6,254,5.5,32.7,3940,1987,50.4,1953,49.6,295,7.5
199,1400000US51059450500,35.4,2856,1447,50.7,1409,49.3,48,1.7,37.2,2702,1372,50.8,1330,49.2,59,2.2
200,1400000US51059450702,,,,,,,,,30.9,3963,2104,53.1,1859,46.9,663,16.7
201,1400000US51059451300,43.6,2140,1013,47.3,1127,52.7,53,2.5,41.0,2210,1139,51.5,1071,48.5,60,2.7
202,1400000US51059451900,33.6,6144,3159,51.4,2985,48.6,1044,17.0,33.2,5865,2712,46.2,3153,53.8,1563,26.6
203,1400000US51059452102,,,,,,,,,43.0,2970,1359,45.8,1611,54.2,455,15.3
204,1400000US51059452502,,,,,,,,,33.6,4847,2446,50.5,2401,49.5,2412,49.8
205,1400000US51059452802,,,,,,,,,44.7,2884,1305,45.2,1579,54.8,501,17.4
206,1400000US51059460200,41.9,4030,2010,49.9,2020,50.1,49,1.2,43.2,3994,1897,47.5,2097,52.5,41,1.0
207,1400000US51059460300,41.4,2715,1351,49.8,1364,50.2,23,0.8,43.4,2808,1444,51.4,1364,48.6,25,0.9
208,1400000US51059460600,37.9,4373,2251,51.5,2122,48.5,136,3.1,45.0,4175,2063,49.4,2112,50.6,46,1.1
209,1400000US51059461000,39.9,2322,1127,48.5,1195,51.5,249,10.7,39.6,2168,1021,47.1,1147,52.9,113,5.2
210,1400000US51059461601,,,,,,,,,36.1,5950,3065,51.5,2885,48.5,224,3.8
211,1400000US51059461901,,,,,,,,,32.9,3734,1838,49.2,1896,50.8,868,23.2
212,1400000US51059470600,44.7,2320,1088,46.9,1232,53.1,28,1.2,49.3,2850,1338,46.9,1512,53.1,0,0.0
213,1400000US51059471000,38.3,1772,866,48.9,906,51.1,33,1.9,39.8,1912,903,47.2,1009,52.8,10,0.5
