OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
69,1400000US11001009604,10,0,0,0,28,11,0,0,0,0,0,9,0,47,59,14,109,141,202,40,26,0,0,11
70,1400000US11001009700,0,0,0,6,0,0,0,0,0,0,0,10,0,0,39,7,0,59,62,115,0,10,0,0
158,1400000US11001009801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,59,15,12,0,0,0
71,1400000US11001009802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,10,0,47,14,0,0,0,0
159,1400000US11001009803,22,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,52,15,54,23,0,0,0
160,1400000US11001009804,0,0,0,0,0,0,0,0,0,7,0,0,0,24,7,17,8,116,26,49,8,5,0,10
72,1400000US11001009807,0,0,0,0,0,0,0,12,0,0,0,23,8,37,58,28,19,146,187,157,10,12,0,0
161,1400000US11001009810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,8,0,0,0,0,0,0
162,1400000US11001009811,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,51,0,30,0,15,0,0
163,1400000US11001009901,0,0,0,0,8,0,0,15,0,0,0,0,0,31,0,29,0,118,32,128,335,120,11,0
164,1400000US11001009902,0,0,0,0,8,0,0,8,0,0,0,0,11,10,7,112,39,183,206,201,33,28,0,29
165,1400000US11001009903,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,22,70,97,87,14,0,0,0
73,1400000US11001009904,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,28,0,45,44,0,0,0,0,0
166,1400000US11001009905,0,0,0,0,0,9,0,0,0,0,0,8,0,18,57,17,15,58,92,89,8,0,0,26
74,1400000US11001009906,0,0,15,0,0,0,0,13,0,0,0,0,41,12,0,85,78,67,12,0,0,0,0,0
167,1400000US11001009907,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,29,46,106,28,7,0,0,0,0
168,1400000US11001010100,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,74,0,154,41,52,24,0
169,1400000US11001010200,0,0,0,0,0,0,0,0,23,40,12,0,0,23,25,0,12,58,21,57,30,120,49,7
170,1400000US11001010300,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,46,34,59,52,157,94,135,0,0
171,1400000US11001010400,12,0,0,0,0,0,0,8,0,0,0,0,11,5,40,30,7,93,63,83,11,8,19,0
75,1400000US11001010500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58,96,148,189,32,0,16
