,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
164,165,1400000US11001009903,11,1,9903,99.03,Tract,0.145,11001009903,11001,10583.6635635,4063198.79259,10.3,23.5,26.7
165,166,1400000US11001009905,11,1,9905,99.05,Tract,0.167,11001009905,11001,9570.36189592,4674529.74404,47.7,35.9,35.0
166,167,1400000US11001009907,11,1,9907,99.07,Tract,0.18,11001009907,11001,10339.9701848,5199220.0052,4.8,32.5,0.0
167,168,1400000US11001010100,11,1,10100,101.0,Tract,0.224,11001010100,11001,11070.0811769,6201931.66347,0.0,3.7,90.6
168,169,1400000US11001010200,11,1,10200,102.0,Tract,0.479,11001010200,11001,16614.3292489,14926716.2092,0.0,0.0,86.9
169,170,1400000US11001010300,11,1,10300,103.0,Tract,0.417,11001010300,11001,17366.5993728,11469185.969,20.7,12.3,69.5
170,171,1400000US11001010400,11,1,10400,104.0,Tract,1.056,11001010400,11001,24966.6050348,29322226.5845,18.4,24.4,25.7
171,172,1400000US11001010600,11,1,10600,106.0,Tract,0.477,11001010600,11001,17133.1777215,13371474.013,10.0,25.9,46.0
172,173,1400000US11001010700,11,1,10700,107.0,Tract,0.344,11001010700,11001,12443.9140225,9596492.77146,0.0,24.7,78.1
173,174,1400000US11001010900,11,1,10900,109.0,Tract,0.919,11001010900,11001,38180.1871191,55921326.7294,40.1,14.1,11.7
174,175,1400000US11001011000,11,1,11000,110.0,Tract,0.25,11001011000,11001,18547.0201827,11121960.8164,15.1,79.3,40.4
175,176,1400000US11001011100,11,1,11100,111.0,Tract,2.206,11001011100,11001,44610.0364306,65188603.1768,26.6,28.2,27.4
176,177,1400000US11001001902,11,1,1902,19.02,Tract,0.343,11001001902,11001,13111.9258654,9550035.63347,21.7,9.0,55.7
177,178,1400000US11001008100,11,1,8100,81.0,Tract,0.113,11001008100,11001,7648.5108596,3144077.36045,13.4,24.1,74.8
178,179,1400000US11001000801,11,1,801,8.01,Tract,1.132,11001000801,11001,27372.6857428,33639907.4572,0.0,85.3,74.4
179,180,1400000US51059415100,51,59,415100,4151.0,Tract,0.92,51059415100,51059,21573.946505,25481320.0518,20.1,51.1,43.7
180,181,1400000US51059415401,51,59,415401,4154.01,Tract,0.625,51059415401,51059,18131.9324155,17305420.6206,14.5,17.4,19.6
181,182,1400000US51059416000,51,59,416000,4160.0,Tract,1.327,51059416000,51059,28708.7291305,37073500.6321,7.0,33.3,33.7
182,183,1400000US51059420100,51,59,420100,4201.0,Tract,1.418,51059420100,51059,36062.0056653,39928401.2538,45.9,19.8,44.7
183,184,1400000US51059420800,51,59,420800,4208.0,Tract,1.058,51059420800,51059,27956.105983,29478843.161,31.3,42.9,12.2
184,185,1400000US51059421200,51,59,421200,4212.0,Tract,0.528,51059421200,51059,20787.7899217,17336068.1863,26.7,0.0,71.0
185,186,1400000US51059421600,51,59,421600,4216.0,Tract,0.443,51059421600,51059,20043.0585259,12222668.0284,33.6,17.7,18.5
186,187,1400000US51059421800,51,59,421800,4218.0,Tract,0.762,51059421800,51059,22174.4170395,21051593.7051,26.5,37.3,24.1
187,188,1400000US51059422301,51,59,422301,4223.01,Tract,0.505,51059422301,51059,16142.8722417,14053207.7534,31.9,64.9,79.3
188,189,1400000US51059422401,51,59,422401,4224.01,Tract,0.213,51059422401,51059,10970.5817244,5834861.1483,12.2,56.3,35.2
189,190,1400000US51059430203,51,59,430203,4302.03,Tract,0.605,51059430203,51059,17502.1664711,16774439.0684,33.7,6.8,57.6
