OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
667,1400000US24031700818,0,26,16,2387
668,1400000US24031700819,0,84,0,2135
669,,,,,
670,,,,,
671,1400000US24033803300,12,45,0,1386
672,1400000US24033803401,0,5,0,425
673,1400000US24033803402,0,38,0,1476
674,1400000US24033803508,10,40,0,1485
675,1400000US24033803509,0,86,0,890
676,1400000US24033803513,0,27,0,1736
677,1400000US24033803514,0,8,10,1299
678,1400000US24033803516,0,34,0,1122
679,1400000US24033806711,0,89,0,1558
680,,,,,
681,,,,,
682,1400000US24033806800,6,19,3,1296
683,1400000US24033806900,0,57,14,1266
684,1400000US24033807000,13,43,5,1735
685,1400000US24033807102,7,36,7,819
686,1400000US24033807200,9,15,7,956
687,1400000US24033807301,0,18,0,1407
688,1400000US24033807305,0,12,13,1017
689,1400000US24033807404,7,50,7,1536
690,1400000US24033807407,0,53,8,1765
691,1400000US24033807408,0,60,12,2193
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,1400000US24033803601,0,8,18,1043
702,1400000US24033803602,0,25,11,655
703,1400000US24033803605,6,43,3,1973
704,1400000US24033803606,15,23,0,1479
705,1400000US24033803608,0,22,7,1743
706,1400000US24033803610,0,9,0,1039
707,1400000US24033803612,0,62,0,1111
708,1400000US24033803700,0,14,2,685
709,1400000US24033803801,0,30,0,667
710,1400000US24033803803,11,29,13,1629
711,1400000US24033803900,0,44,9,1021
712,1400000US24033804002,7,50,6,1201
713,1400000US24033804101,7,16,11,1045
714,1400000US24033804102,0,59,0,1703
715,1400000US24033804200,7,8,30,1049
716,1400000US24033804300,0,26,0,1126
717,1400000US24033804600,10,10,5,828
718,1400000US24033804700,7,23,9,1184
719,,,,,
720,,,,,
721,1400000US24033805000,0,64,0,2122
722,1400000US24033805101,0,28,14,1165
723,1400000US24033805201,0,70,0,1185
724,1400000US24033805202,0,17,23,1153
725,1400000US24033805500,0,63,5,1415
726,1400000US24033805602,15,87,0,1221
727,1400000US24033805700,9,54,0,1597
728,1400000US24033805801,11,0,5,1052
729,1400000US24033805802,0,29,18,892
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,1400000US24033806000,0,25,0,1394
735,1400000US24033806100,13,17,24,1443
736,1400000US24033806300,2,15,3,623
737,1400000US24033806400,9,9,9,1166
738,1400000US24033806501,0,33,3,1355
739,1400000US24033806601,0,18,7,1233
740,1400000US24033806706,0,41,13,1446
741,1400000US24033806708,0,61,0,2043
742,1400000US24033806710,0,46,0,1900
743,1400000US24033803607,9,6,6,940
744,1400000US24031701417,19,94,10,2256
745,,,,,
746,1400000US24033807405,0,29,14,1686
747,1400000US24031704502,0,0,0,981
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,1400000US24031700902,4,22,0,1149
753,1400000US24031700903,0,27,0,657
754,1400000US24031700904,0,7,0,823
755,1400000US24031700905,0,0,0,1657
756,1400000US24031701001,0,42,13,1884
757,1400000US24031701004,4,29,5,1832
758,1400000US24031701005,0,14,5,938
759,,,,,
760,,,,,
761,1400000US24031701101,0,17,0,1462
762,1400000US24031701201,0,15,12,2187
763,1400000US24031701202,7,6,3,990
764,1400000US24031701205,0,16,0,1950
765,1400000US24031701206,0,11,0,2174
766,1400000US24031701211,0,26,0,1271
767,1400000US24031701212,0,10,0,908
768,1400000US24031701213,0,73,32,2490
769,1400000US24031701214,2,37,2,982
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,1400000US24031701303,8,11,18,1281
776,1400000US24031701306,4,17,0,899
777,1400000US24031701307,0,9,0,814
778,1400000US24031701308,0,0,9,768
779,1400000US24031701312,0,11,0,1975
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,1400000US24031701408,0,30,0,1751
785,1400000US24031701410,7,72,6,2248
786,1400000US24031701414,0,11,24,2345
787,1400000US24031701415,0,13,0,2370
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,1400000US24031701503,0,18,6,1984
793,1400000US24031701505,0,102,5,2349
794,1400000US24031701506,8,27,0,1697
795,1400000US24031701507,0,13,0,1738
796,,,,,
797,,,,,
798,1400000US24031701701,0,43,14,1483
799,1400000US24031701702,0,15,19,992
800,1400000US24031701703,13,23,10,1210
801,1400000US24031701704,26,40,44,977
802,1400000US24031701800,16,26,12,1813
803,1400000US24031702000,4,61,6,1367
804,1400000US24031702101,10,22,14,1670
805,1400000US24031701407,0,17,6,1768
