GEO_ID_2,ACS21,HC03_VC77
1400000US51059452400,12.4,4.9
1400000US51059452501,2.1,8.9
1400000US51059452600,19.6,18.0
1400000US51059452700,27.7,20.5
1400000US51059452801,18.9,2.7
1400000US51059460100,4.0,0.4
1400000US51059460400,2.5,3.3
1400000US51059460501,0.7,0.7
1400000US51059460502,7.1,1.4
1400000US51059460701,3.3,15.3
1400000US51059460702,3.5,0.8
1400000US51059460800,0.8,6.0
1400000US51059460900,0.0,0.3
1400000US51059461100,1.4,6.0
1400000US51059461201,0.5,0.0
1400000US51059461202,8.3,1.0
1400000US51059461500,2.7,0.9
1400000US51059461602,3.0,2.9
1400000US51059461700,8.5,1.2
1400000US51059461801,23.8,0.4
1400000US51059461802,4.5,7.6
1400000US51059461902,10.1,23.0
1400000US51059470100,1.6,7.0
1400000US51059470300,0.0,3.8
1400000US51059470400,0.8,0.0
1400000US51059470500,0.1,3.5
1400000US51059470700,1.3,0.6
1400000US51059470800,1.6,0.0
1400000US51059470900,1.1,0.9
1400000US51059471100,2.3,12.6
1400000US51059471201,14.0,5.4
1400000US51059471202,3.7,0.0
1400000US51059471301,3.1,7.1
1400000US51059471304,0.8,1.1
1400000US51059471401,4.5,4.4
1400000US51059471402,4.2,12.7
1400000US51059480100,2.0,0.9
1400000US51059480201,3.4,0.0
1400000US51059480203,13.6,2.6
1400000US51059480300,0.9,0.8
1400000US51059480401,3.3,1.2
1400000US51059480402,1.0,0.1
1400000US51059480502,7.9,2.8
1400000US51059480503,3.8,2.2
1400000US51059480504,5.6,2.5
1400000US51059480505,3.3,2.1
1400000US51059480801,13.6,19.3
1400000US51059480901,15.5,15.0
1400000US51059480902,12.1,8.3
1400000US51059480903,12.2,19.9
1400000US51059481101,12.7,1.0
1400000US51059481102,11.6,3.3
1400000US51059481103,10.5,3.0
1400000US51059481105,4.5,0.4
1400000US51059481106,3.3,0.6
1400000US51059481201,5.7,1.7
1400000US51059481202,15.3,16.1
1400000US51059481400,6.8,0.6
1400000US51059481500,3.1,0.5
1400000US51059481600,0.6,0.0
1400000US51059481702,7.0,2.6
1400000US51059481900,15.4,1.0
1400000US51059482001,3.6,0.0
1400000US51059482100,17.3,7.9
1400000US51059482201,14.8,1.7
1400000US51059482202,10.6,0.6
1400000US51059482203,2.6,1.7
1400000US51059482302,25.0,5.9
1400000US51059482303,1.4,4.1
1400000US51059482400,0.0,1.1
1400000US51059482501,16.9,10.8
1400000US51059482503,6.7,0.1
1400000US51059482504,0.9,2.3
1400000US51059482601,8.1,0.6
1400000US51059482602,6.7,3.5
1400000US51059490101,7.9,0.5
1400000US51059490103,2.7,10.1
1400000US51059490502,3.4,1.0
1400000US51059491000,1.7,1.1
1400000US51059491101,4.0,2.3
1400000US51059491102,4.5,10.6
1400000US51059491201,14.4,12.3
1400000US51059491301,9.1,5.1
1400000US51059491302,4.6,8.5
1400000US51059491303,12.4,5.0
1400000US51059491402,4.3,1.9
1400000US51059491403,5.4,2.3
1400000US51059491404,6.3,1.9
1400000US51059491405,8.4,2.5
1400000US51059491502,3.9,0.2
1400000US51059491601,8.3,15.7
1400000US51059491602,5.1,19.4
1400000US51059491701,4.8,0.3
1400000US51059491702,18.4,1.6
1400000US51059491704,11.3,0.4
1400000US51059491705,2.5,1.4
1400000US51059491802,3.1,0.0
1400000US51059491803,2.8,2.4
1400000US51059492000,6.0,2.5
1400000US51059492100,3.4,0.1
1400000US51059492201,7.1,0.0
1400000US51059492203,1.1,0.8
1400000US51059492300,5.6,3.1
1400000US51059492400,12.8,4.2
1400000US51059492500,3.0,1.8
1400000US51059980200,-,-
1400000US51059980300,-,-
1400000US51013100200,1.8,0.3
1400000US51013100300,2.6,2.0
1400000US51013100500,0.1,9.0
1400000US51013100600,5.5,7.1
1400000US51013100700,5.6,7.0
1400000US51013100900,2.2,11.7
1400000US51013101000,7.0,3.3
1400000US51013101100,0.4,1.2
1400000US51013101200,7.7,10.0
1400000US51013101300,0.8,5.4
1400000US51013101402,0.0,0.0
1400000US51013101403,1.9,0.5
1400000US51013101404,6.2,3.5
1400000US51013101500,3.4,4.3
1400000US51013101601,1.4,16.4
1400000US51013101603,6.9,1.7
1400000US51013101701,11.8,2.7
1400000US51013101702,5.4,7.1
1400000US51013101801,2.7,1.7
1400000US51013101802,7.6,3.1
1400000US51013101803,13.4,4.8
1400000US51013102001,2.9,30.7
1400000US51013102002,7.6,9.9
1400000US51013102003,10.6,14.5
1400000US51013102100,2.7,2.2
1400000US51013102200,21.7,29.5
1400000US51013102302,6.0,33.8
1400000US51013102400,13.9,10.0
1400000US51013102500,15.6,6.5
1400000US51013102600,11.1,5.2
1400000US51013102701,25.9,33.8
1400000US51013102801,18.8,14.4
1400000US51013102802,5.9,2.3
1400000US51013102901,1.8,0.0
1400000US51013103000,0.4,1.8
1400000US51013103100,42.3,15.4
1400000US51013103200,11.5,17.0
1400000US51013103300,35.0,5.3
1400000US51013103401,12.1,0.8
1400000US51013103501,3.4,3.5
1400000US51013103502,7.4,1.8
1400000US51013103503,8.2,2.2
1400000US51013103601,1.7,0.6
1400000US51013103700,2.4,2.1
1400000US51013103800,21.4,8.1
1400000US51013980100,-,-
1400000US51013980200,-,-
1400000US51059491103,3.9,6.9
1400000US51510201300,19.5,3.5
1400000US51510201400,5.8,5.9
1400000US51510201500,9.7,1.5
1400000US51510201801,11.0,0.2
1400000US51510201802,22.1,1.0
1400000US51510201900,5.6,0.0
1400000US51510202002,3.3,1.4
1400000US51510200102,17.2,11.7
1400000US51510200104,36.2,19.5
1400000US51510200105,62.4,3.3
1400000US51510200106,16.5,2.0
1400000US51510200201,21.1,1.6
1400000US51510200202,5.3,0.7
1400000US51510200302,31.9,6.7
1400000US51510200303,21.1,8.9
1400000US51510200403,25.8,0.4
1400000US51510200404,7.3,1.1
1400000US51510200406,37.5,9.5
1400000US51510200407,28.3,2.3
1400000US51510200703,33.4,1.2
1400000US51510200801,15.2,0.6
1400000US51510200802,10.9,0.1
1400000US51510201000,4.0,2.1
1400000US51510201100,2.8,5.5
1400000US51510201202,10.9,1.9
1400000US51510201203,14.8,9.5
1400000US51600300100,,
1400000US51600300200,,
1400000US51600300400,,
1400000US51600300500,,
1400000US51610500100,1.4,1.6
1400000US51610500200,9.4,9.2
1400000US51059420400,15.4,9.5
1400000US51059482002,4.7,1.4
1400000US24031700105,30.6,10.1
1400000US24031700304,20.1,1.4
1400000US24031700607,4.0,0.2
1400000US24031700611,11.4,2.0
1400000US24031700710,11.3,14.2
1400000US24031700718,16.8,0.2
1400000US24031700723,19.8,0.0
1400000US24031700815,30.6,6.8
1400000US24031700820,31.8,1.0
1400000US24031700824,9.8,1.2
1400000US24033803001,83.6,0.2
1400000US24033803002,99.3,0.0
1400000US24033803100,91.9,0.0
1400000US24033803200,95.7,1.6
1400000US24033803512,90.8,0.0
1400000US24033803519,90.6,1.0
1400000US24033803525,78.5,4.5
1400000US24033803613,69.9,8.8
1400000US24033804001,85.9,5.9
1400000US24033804400,43.0,16.6
1400000US24033804900,76.3,12.7
1400000US24033805601,4.6,69.0
1400000US24033805904,30.7,31.0
1400000US24033806200,37.1,3.7
1400000US24033806602,43.4,1.4
1400000US24033806712,71.7,0.7
1400000US24033807304,24.8,19.8
1400000US24031700826,7.3,2.9
1400000US24031700828,0.5,0.0
1400000US24031700829,4.4,5.0
1400000US24031700830,25.8,20.3
1400000US24031700901,13.7,3.8
1400000US24031701002,1.5,1.4
1400000US24031701102,5.9,12.6
1400000US24031701210,0.8,0.0
