OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA
226,1400000US51059491501,51,059,491501,4915.01,Tract,0.989,51059491501,51059,23330.1645751,27751696.9885
227,1400000US51059491703,51,059,491703,4917.03,Tract,0.592,51059491703,51059,17822.0214483,16759670.1705
228,1400000US51059491801,51,059,491801,4918.01,Tract,0.443,51059491801,51059,18504.5779705,12282841.6366
229,1400000US51059492202,51,059,492202,4922.02,Tract,2.219,51059492202,51059,33468.8654794,63742433.114
230,1400000US51059980100,51,059,980100,9801,Tract,1.225,51059980100,51059,25962.7312581,34360605.2727
231,1400000US51013100100,51,013,100100,1001,Tract,0.84,51013100100,51013,21880.0459749,23510769.2181
232,1400000US51013100400,51,013,100400,1004,Tract,1.485,51013100400,51013,34874.034835,40339447.0917
233,1400000US51013100800,51,013,100800,1008,Tract,0.17,51013100800,51013,12197.2702762,5048405.55733
234,1400000US51013101401,51,013,101401,1014.01,Tract,0.131,51013101401,51013,9858.81572998,3839507.17154
235,1400000US51013101602,51,013,101602,1016.02,Tract,0.08,51013101602,51013,6039.88383197,2176734.48691
236,1400000US51013101703,51,013,101703,1017.03,Tract,0.097,51013101703,51013,7533.82703497,2610513.88375
237,1400000US51013101900,51,013,101900,1019,Tract,0.428,51013101900,51013,16047.3886142,11894586.3286
238,1400000US51013102301,51,013,102301,1023.01,Tract,0.329,51013102301,51013,15447.2198336,9107873.43393
239,1400000US51013102702,51,013,102702,1027.02,Tract,0.11,51013102702,51013,7840.24389727,2977903.724
240,1400000US51013102902,51,013,102902,1029.02,Tract,0.291,51013102902,51013,11747.102316,7893716.34592
241,1400000US51013103402,51,013,103402,1034.02,Tract,0.436,51013103402,51013,26631.5164301,12292891.8257
242,1400000US51013103602,51,013,103602,1036.02,Tract,0.065,51013103602,51013,8674.99866832,1864678.83809
243,1400000US51510200103,51,510,200103,2001.03,Tract,0.438,51510200103,51510,18998.0322416,12209138.3894
244,1400000US51510200107,51,510,200107,2001.07,Tract,0.247,51510200107,51510,10919.2764734,7366687.65354
245,1400000US51510200301,51,510,200301,2003.01,Tract,0.199,51510200301,51510,11273.451319,5458548.67414
246,1400000US51510200405,51,510,200405,2004.05,Tract,0.476,51510200405,51510,18397.9850806,13234062.5528
247,1400000US51510200500,51,510,200500,2005,Tract,0.245,51510200500,51510,12690.6835366,6905558.94542
248,1400000US51510200600,51,510,200600,2006,Tract,0.732,51510200600,51510,24790.9906215,21401071.8823
249,1400000US51510200701,51,510,200701,2007.01,Tract,0.339,51510200701,51510,13928.6303008,9851371.06424
250,1400000US51510200702,51,510,200702,2007.02,Tract,0.463,51510200702,51510,16045.8888864,13111039.6385
251,1400000US51510200900,51,510,200900,2009,Tract,0.834,51510200900,51510,23058.5438166,23336401.7576
252,1400000US51510201204,51,510,201204,2012.04,Tract,0.186,51510201204,51510,9885.83583963,5243723.67207
253,1400000US51510201600,51,510,201600,2016,Tract,0.314,51510201600,51510,14810.9715904,8755523.11828
254,1400000US51510202001,51,510,202001,2020.01,Tract,0.19,51510202001,51510,11364.340124,6095208.44456
255,1400000US51600300300,51,600,300300,3003,Tract,1.776,51600300300,51600,31991.3196772,49904683.6736
256,1400000US51610500300,51,610,500300,5003,Tract,0.66,51610500300,51610,20217.8141095,18628495.9655
257,1400000US51059415200,51,059,415200,4152,Tract,1.061,51059415200,51059,33991.6516222,55205478.4941
258,1400000US51059415300,51,059,415300,4153,Tract,0.828,51059415300,51059,23040.9586826,23363349.7754
259,1400000US51059415402,51,059,415402,4154.02,Tract,0.925,51059415402,51059,26958.2284538,25575380.5099
260,1400000US51059415500,51,059,415500,4155,Tract,1.491,51059415500,51059,32741.8879355,41987248.9762
261,1400000US51059415600,51,059,415600,4156,Tract,1.43,51059415600,51059,35585.3784792,50558250.7814
262,1400000US51059415700,51,059,415700,4157,Tract,1.338,51059415700,51059,24578.6251841,39012678.673
263,1400000US51059415800,51,059,415800,4158,Tract,1.398,51059415800,51059,30975.8323164,40777344.8965
