GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US24031700205,5733,5074,13,39
1400000US24031700206,6174,5326,15,71
1400000US24031700207,,,,
1400000US24031700208,,,,
1400000US24031700306,7290,4023,29,102
1400000US24031700813,5083,2730,57,98
1400000US24031700816,8442,3951,70,171
1400000US24031700817,5722,3299,51,121
1400000US24031700818,6052,2971,89,131
1400000US24031700819,6274,3960,52,136
1400000US24031700822,,,,
1400000US24031700823,,,,
1400000US24033803300,4196,218,62,119
1400000US24033803401,1376,73,20,25
1400000US24033803402,4777,305,64,102
1400000US24033803508,4650,564,110,160
1400000US24033803509,2283,24,37,123
1400000US24033803513,4684,297,53,80
1400000US24033803514,3974,126,31,49
1400000US24033803516,4327,532,0,34
1400000US24033806711,3746,862,9,98
1400000US24033806713,,,,
1400000US24033806714,,,,
1400000US24033806800,3702,2573,9,37
1400000US24033806900,4101,2589,23,94
1400000US24033807000,5223,3303,60,121
1400000US24033807102,2270,1514,28,78
1400000US24033807200,13854,10043,24,55
1400000US24033807301,3151,1441,30,48
1400000US24033807305,3668,1150,15,40
1400000US24033807404,4917,2207,34,98
1400000US24033807407,5763,1988,21,82
1400000US24033807408,5361,3620,40,112
1400000US24033807409,,,,
1400000US24033807410,,,,
1400000US24033803520,,,,
1400000US24033803521,,,,
1400000US24033803522,,,,
1400000US24033803523,,,,
1400000US24033803524,,,,
1400000US24033803526,,,,
1400000US24033803527,,,,
1400000US24033803601,3456,281,20,46
1400000US24033803602,1774,9,0,36
1400000US24033803605,6650,2475,20,72
1400000US24033803606,5616,1849,39,77
1400000US24033803608,4908,951,46,75
1400000US24033803610,3677,1682,24,33
1400000US24033803612,3158,340,86,148
1400000US24033803700,2396,1053,15,31
1400000US24033803801,1900,630,6,36
1400000US24033803803,5538,1289,75,128
1400000US24033803900,4083,1172,7,60
1400000US24033804002,3387,1419,26,89
1400000US24033804101,3206,805,75,109
1400000US24033804102,6099,1856,68,127
1400000US24033804200,3534,2001,18,63
1400000US24033804300,3474,734,64,90
1400000US24033804600,2966,975,47,72
1400000US24033804700,3949,1751,35,74
1400000US24033804801,,,,
1400000US24033804802,,,,
1400000US24033805000,4943,653,46,110
1400000US24033805101,3553,1142,44,86
1400000US24033805201,3873,758,47,117
1400000US24033805202,3930,597,30,70
1400000US24033805500,4128,910,44,112
1400000US24033805602,4271,1254,14,116
1400000US24033805700,5078,987,13,76
1400000US24033805801,4181,610,0,16
1400000US24033805802,3364,708,9,56
1400000US24033805906,,,,
1400000US24033805907,,,,
1400000US24033805908,,,,
1400000US24033805909,,,,
1400000US24033806000,4163,754,69,94
1400000US24033806100,4687,2368,27,81
1400000US24033806300,2031,1035,16,36
1400000US24033806400,3226,2606,4,31
1400000US24033806501,4523,2067,81,117
1400000US24033806601,4471,1778,11,36
1400000US24033806706,3640,1584,6,60
1400000US24033806708,4111,2457,42,103
1400000US24033806710,4945,1434,33,79
1400000US24033803607,3362,900,0,21
1400000US24031701417,5224,1612,89,212
1400000US24033801908,,,,
1400000US24033807405,5038,3215,58,101
1400000US24031704502,2798,2508,12,12
1400000US24031700832,,,,
1400000US24031700833,,,,
1400000US24031700834,,,,
1400000US24031700835,,,,
1400000US24031700902,3165,1698,24,50
1400000US24031700903,1798,1006,5,32
1400000US24031700904,2495,1300,0,7
1400000US24031700905,4223,2213,0,0
1400000US24031701001,5613,3950,36,91
1400000US24031701004,5411,4141,34,72
1400000US24031701005,3193,2763,0,19
1400000US24031701006,,,,
1400000US24031701007,,,,
1400000US24031701101,4581,3244,42,59
1400000US24031701201,5502,3701,60,87
1400000US24031701202,2583,2379,7,23
1400000US24031701205,6515,6007,9,25
1400000US24031701206,6343,4798,13,24
1400000US24031701211,6225,3689,7,33
1400000US24031701212,2668,1972,6,16
1400000US24031701213,4911,4124,18,123
1400000US24031701214,2471,1918,23,64
1400000US24031701216,,,,
1400000US24031701218,,,,
1400000US24031701219,,,,
1400000US24031701220,,,,
1400000US24031701221,,,,
1400000US24031701303,3682,3186,0,37
1400000US24031701306,3385,3062,4,25
1400000US24031701307,3158,2204,14,23
1400000US24031701308,2947,2126,9,18
1400000US24031701312,6531,5093,28,39
1400000US24031701314,,,,
1400000US24031701315,,,,
1400000US24031701316,,,,
1400000US24031701317,,,,
1400000US24031701408,6834,3934,13,43
1400000US24031701410,7732,1986,49,134
1400000US24031701414,7162,2481,54,89
1400000US24031701415,7483,3271,62,75
1400000US24031701418,,,,
1400000US24031701420,,,,
1400000US24031701421,,,,
1400000US24031701423,,,,
1400000US24031701503,6678,3261,22,46
1400000US24031701505,6460,3173,91,198
1400000US24031701506,4665,2716,28,63
1400000US24031701507,5431,2960,22,35
