OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
300,1400000US51059430400,79.4,71.5,3543,69.3,34,0.7,100.0,28.5,1766,67.4
301,1400000US51059430600,63.7,68.5,3206,65.7,98,2.0,100.0,31.5,1371,59.4
302,1400000US51059430700,71.1,72.2,1385,68.8,28,1.4,100.0,27.8,633,62.1
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,1400000US51059431300,69.4,73.5,2214,68.2,35,1.1,100.0,26.5,1129,66.3
309,1400000US51059431400,69.5,72.6,2217,66.7,34,1.0,100.0,27.4,1140,65.6
310,1400000US51059431500,71.4,76.1,2686,69.8,49,1.3,100.0,23.9,1388,69.1
311,1400000US51059431600,70.2,63.1,2804,59.0,105,2.2,100.0,36.9,1257,51.5
312,,,,,,,,,,,
313,1400000US51059432000,74.7,74.7,1766,70.4,49,2.0,100.0,25.3,912,69.9
314,1400000US51059432100,72.9,79.9,2088,76.0,28,1.0,100.0,20.1,1123,73.6
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,1400000US51059432500,67.3,77.1,3096,70.6,53,1.2,100.0,22.9,1590,68.7
320,1400000US51059432600,65.4,80.6,2641,75.6,55,1.6,100.0,19.4,1294,72.0
321,,,,,,,,,,,
322,1400000US51059432800,74.0,73.8,1059,67.4,15,1.0,100.0,26.2,555,67.4
323,1400000US51059440100,74.0,60.1,3402,57.5,114,1.9,100.0,39.9,1679,53.0
324,,,,,,,,,,,
325,,,,,,,,,,,
326,1400000US51059440300,70.6,69.9,1403,67.2,43,2.1,100.0,30.1,700,64.4
327,,,,,,,,,,,
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,1400000US51059440800,75.3,62.5,2601,60.5,41,1.0,100.0,37.5,1210,53.9
332,1400000US51059450100,72.9,81.2,3329,78.7,73,1.7,100.0,18.8,1576,73.1
333,1400000US51059450300,74.3,70.8,2436,68.2,87,2.4,100.0,29.2,1224,65.8
334,1400000US51059450400,74.7,64.9,1243,63.4,19,1.0,100.0,35.1,559,54.2
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,1400000US51059450800,73.9,70.6,1728,67.4,47,1.8,100.0,29.4,803,61.4
339,1400000US51059450900,81.6,64.2,786,62.6,16,1.3,100.0,35.8,389,55.7
340,1400000US51059451000,71.1,57.7,1233,56.5,12,0.5,100.0,42.3,565,50.1
341,1400000US51059451100,76.5,64.0,1167,62.9,20,1.1,100.0,36.0,524,56.5
342,1400000US51059451200,73.6,63.4,757,61.6,7,0.6,100.0,36.6,346,54.8
343,1400000US51059451400,50.4,72.3,1698,66.6,134,5.3,100.0,27.7,737,64.4
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,1400000US51059451800,76.7,64.7,1611,63.4,21,0.8,100.0,35.3,813,59.6
349,1400000US51059452000,69.3,63.8,1383,61.1,32,1.4,100.0,36.2,688,55.1
350,,,,,,,,,,,
351,1400000US51059452200,68.3,71.3,3360,69.6,71,1.5,100.0,28.7,1710,68.4
352,,,,,,,,,,,
353,,,,,,,,,,,
354,1400000US51059452400,75.3,72.5,3463,68.6,103,2.0,100.0,27.5,1723,67.8
355,,,,,,,,,,,
356,1400000US51059452600,75.2,74.5,2402,70.1,99,2.9,100.0,25.5,1255,69.6
357,1400000US51059452700,63.4,74.1,2500,68.4,174,4.8,100.0,25.9,1357,71.1
358,,,,,,,,,,,
359,1400000US51059460100,82.1,71.0,1968,68.4,46,1.6,100.0,29.0,917,62.4
360,1400000US51059460400,71.4,67.9,2315,65.7,58,1.6,100.0,32.1,1069,56.5
361,,,,,,,,,,,
362,,,,,,,,,,,
363,,,,,,,,,,,
364,,,,,,,,,,,
365,1400000US51059460800,73.3,71.0,1577,69.5,35,1.5,100.0,29.0,761,63.2
366,1400000US51059460900,74.8,69.5,1202,67.5,25,1.4,100.0,30.5,509,57.6
367,1400000US51059461100,68.9,65.6,3396,63.2,121,2.3,100.0,34.4,1491,56.1
368,,,,,,,,,,,
369,,,,,,,,,,,
370,1400000US51059461500,67.9,75.1,2879,69.8,143,3.5,100.0,24.9,1373,62.8
371,,,,,,,,,,,
372,1400000US51059461700,71.3,70.3,3246,68.1,100,2.1,100.0,29.7,1501,64.4
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,1400000US51059470100,79.1,67.2,1420,65.3,35,1.6,100.0,32.8,641,56.5
377,1400000US51059470300,72.8,60.9,1427,59.9,18,0.8,100.0,39.1,599,48.0
378,1400000US51059470400,76.2,63.4,2272,62.4,26,0.7,100.0,36.6,985,52.2
379,1400000US51059470500,75.8,64.7,2597,63.3,50,1.2,100.0,35.3,1214,54.2
380,1400000US51059470700,75.4,67.4,2490,65.3,65,1.7,100.0,32.6,1155,59.9
381,1400000US51059470800,70.5,67.7,1419,65.8,30,1.4,100.0,32.3,692,60.4
