OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
147,1400000US11001007401,0,0,0,0,0,0,0,0,0,10,0,0,0,5,7,0,18,0,0,0,0,0,0,0
148,1400000US11001007404,0,0,0,0,0,0,0,0,0,20,0,26,0,0,6,6,0,0,0,0,0,0,0,0
149,1400000US11001007406,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0
150,1400000US11001009301,4,0,0,0,0,0,5,0,29,0,0,51,26,122,230,101,132,64,39,9,9,0,0,6
151,1400000US11001009400,0,0,0,0,6,0,0,0,0,0,7,18,96,184,315,237,215,159,55,0,0,0,6,0
152,1400000US11001009501,0,0,0,0,0,0,0,0,0,0,0,20,27,123,85,6,7,0,0,0,0,0,0,0
153,1400000US11001009503,0,0,0,0,0,0,0,6,0,18,0,0,0,140,257,321,182,128,37,0,0,0,0,0
154,1400000US11001009505,0,0,0,0,0,0,0,0,0,0,0,42,84,332,182,140,85,37,14,0,0,0,0,0
155,1400000US11001009507,0,0,0,7,0,0,0,0,0,0,0,14,22,224,146,39,16,20,0,0,0,0,0,0
156,1400000US11001009508,0,0,7,0,20,0,0,0,0,0,0,7,17,122,468,87,22,13,0,0,0,0,20,0
157,1400000US11001009601,0,0,0,0,0,0,0,0,0,10,49,27,21,43,73,19,19,20,5,6,0,0,0,0
158,1400000US11001009801,0,0,0,0,0,0,0,0,0,0,11,53,20,17,10,0,0,0,0,0,0,0,0,0
159,1400000US11001009803,0,8,0,0,0,0,0,0,0,6,37,30,9,61,38,0,0,0,0,0,0,0,0,0
160,1400000US11001009804,0,0,0,0,0,0,0,8,0,0,21,22,46,95,36,7,0,0,0,0,0,0,0,0
161,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,
163,1400000US11001009901,0,0,0,0,0,0,0,5,0,0,19,37,30,75,80,297,145,81,61,18,0,0,0,0
164,1400000US11001009902,6,6,0,0,6,8,0,0,6,0,7,81,147,418,113,25,21,0,0,7,7,0,6,6
