OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp
415,1400000US51059481900,435,8.1,183,252,7.0,9.3
416,1400000US51059482001,48,1.0,15,33,0.6,1.4
417,1400000US51059482100,147,5.5,100,47,7.4,3.6
418,1400000US51059482201,152,7.5,50,102,5.7,8.8
419,1400000US51059482202,161,5.2,48,113,3.3,7.0
420,1400000US51059482203,9,0.3,9,0,0.6,0.0
421,1400000US51059482302,988,24.4,569,419,25.7,22.8
422,1400000US51059482303,104,3.5,44,60,3.2,3.7
423,1400000US51059482400,18,0.8,11,7,1.1,0.6
424,1400000US51059482501,174,3.0,71,103,2.6,3.3
425,1400000US51059482503,71,1.5,15,56,0.6,2.3
426,1400000US51059482504,0,0.0,0,0,0.0,0.0
427,1400000US51059482601,80,1.1,28,52,0.8,1.5
428,1400000US51059482602,189,2.8,75,114,2.4,3.2
429,1400000US51059490101,280,5.3,108,172,4.5,6.1
430,1400000US51059490103,153,2.9,100,53,3.5,2.1
431,1400000US51059490502,328,5.4,109,219,3.7,7.0
432,1400000US51059491000,21,1.1,14,7,1.6,0.7
433,1400000US51059491101,11,0.3,0,11,0.0,0.6
434,1400000US51059491102,0,0.0,0,0,0.0,0.0
435,1400000US51059491201,140,2.4,43,97,1.5,3.3
436,1400000US51059491301,132,1.9,50,82,1.5,2.3
437,1400000US51059491302,237,6.4,149,88,8.8,4.4
438,1400000US51059491303,284,7.5,190,94,9.3,5.5
439,1400000US51059491402,306,7.2,176,130,8.1,6.3
440,1400000US51059491403,79,2.0,31,48,1.5,2.4
441,1400000US51059491404,158,4.0,39,119,2.0,5.9
442,1400000US51059491405,0,0.0,0,0,0.0,0.0
443,1400000US51059491502,44,0.6,22,22,0.6,0.6
444,1400000US51059491601,617,12.7,248,369,11.7,13.6
445,1400000US51059491602,414,7.6,213,201,7.7,7.5
446,1400000US51059491701,83,2.7,12,71,0.8,4.2
447,1400000US51059491702,490,7.5,208,282,6.9,8.1
448,1400000US51059491704,324,8.1,78,246,4.1,11.7
449,1400000US51059491705,445,12.0,174,271,10.4,13.4
450,1400000US51059491802,40,1.6,30,10,2.5,0.7
451,1400000US51059491803,342,5.3,135,207,4.2,6.4
452,1400000US51059492000,136,2.1,89,47,2.7,1.4
453,1400000US51059492100,311,4.7,174,137,5.3,4.1
454,1400000US51059492201,96,3.7,15,81,1.3,5.8
455,1400000US51059492203,0,0.0,0,0,0.0,0.0
456,1400000US51059492300,184,5.4,96,88,5.5,5.3
457,1400000US51059492400,251,5.2,149,102,6.1,4.4
458,1400000US51059492500,166,3.9,111,55,5.3,2.5
459,1400000US51059980200,0,-,0,0,-,-
460,1400000US51059980300,0,-,0,0,-,-
461,1400000US51013100200,103,1.7,0,103,0.0,3.4
462,1400000US51013100300,67,1.2,20,47,0.8,1.7
463,1400000US51013100500,193,4.3,89,104,3.9,4.7
464,1400000US51013100600,131,4.7,41,90,3.2,6.1
465,1400000US51013100700,103,2.2,32,71,1.5,2.6
466,1400000US51013100900,195,4.8,108,87,6.1,3.8
467,1400000US51013101000,127,4.0,63,64,4.3,3.8
468,1400000US51013101100,85,1.6,38,47,1.5,1.7
469,1400000US51013101200,162,4.8,45,117,2.9,6.4
