GEO_ID,GEO_ID_1,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC,AREA,PERCENTAGE
1400000US11001005800,1400000US11001005800,42.7,13.8,0.252252252,0.369369369,0.11589404,44.7,2.7,34.7,0,1421.574,53203,0.313642757,0.157524613,0.156118143,0.189814815,0.810185185,0.010416667,0.009259259,8.96166557056e-05,94.1381639676
1400000US11001005800,1400000US11001005900,39.6,82,0.37254902,0.068627451,0.281081081,17.9,20.4,36.3,0,519.673,27515.18,0.369911504,0.22359882,0.146312684,0.01510574,0.98489426,0.0,0.036253776,1.70443061125e-06,1.7904257539
1400000US11001005800,1400000US11001006202,47.0,41.7,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0,1.17734279362e-06,1.23674430919
1400000US11001005900,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,1.12333902612e-06,1.68984198153
1400000US11001005900,1400000US11001005900,39.6,82,0.37254902,0.068627451,0.281081081,17.9,20.4,36.3,0,519.673,27515.18,0.369911504,0.22359882,0.146312684,0.01510574,0.98489426,0.0,0.036253776,6.50422396668e-05,97.8432197277
1400000US11001005900,1400000US11001006202,47.0,41.7,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0,3.10219147439e-07,0.466663515311
1400000US11001005900,1400000US11001008600,40.8,78.7,#DIV/0!,#DIV/0!,0.265306122,22.4,32.7,26.5,0,818.125,76903.75,0.285714286,0.285714286,0,0.538461538,0.461538462,0.0,0.461538462,1.88961990685e-10,0.000284256041451
1400000US11001006202,1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072,9.50580505433e-06,0.791296513622
1400000US11001006202,1400000US11001005100,40.4,24.9,0.75,0.25,0.101488498,51.3,2.6,39.2,0,979.132,47451.25,0.094133697,0.025920873,0.068212824,0.109734513,0.890265487,0.0,0.010619469,3.88284599985e-08,0.0032322170348
1400000US11001006202,1400000US11001005202,30.1,21.4,0.426966292,0.084269663,0.153271028,57.4,2.9,30,0,831.215,37682.18,0.259590793,0.083120205,0.176470588,0.017892644,0.982107356,0.0,0.013916501,2.07086095586e-07,0.0172385720642
1400000US11001006202,1400000US11001005302,40.7,4,1,0,0,85.5,0,18.5,0,1336.489,83994.6,0.032608696,0.032608696,0,0.512195122,0.487804878,0.0,0.0,2.96228811943e-07,0.02465912406
1400000US11001006202,1400000US11001005402,46.5,0,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0,4.43626926758e-07,0.0369290595048
1400000US11001006202,1400000US11001005600,29.0,6,0.173637516,0.003802281,0.070978821,70,2.6,42.2,0,1110.032,51425.37,0.246128433,0.079909147,0.166219286,0.347862767,0.652137233,0.0,0.003937008,3.56641434625e-06,0.296880824106
