GEO_ID,ten_1,ten_2
1400000US11001008904,-2.734465629,0.035041692
1400000US11001009000,-1.288711066,0.02633799
1400000US11001009102,-1.209409461,0.02586058
1400000US11001009201,-1.127189183,0.025365599
1400000US11001009203,-0.604107147,0.022216551
1400000US11001009204,-2.670283481,0.034655304
1400000US11001009301,0.886206881,0.013244594
1400000US11001009302,0.008125868,0.018530799
1400000US11001009400,0.285734478,0.016859545
1400000US11001009501,-2.241511016,0.032074017
1400000US11001009503,1.627100474,0.008784281
1400000US11001009504,-0.806745285,0.023436469
1400000US11001009505,1.353336103,0.010432392
1400000US11001009507,0.8557103,0.013428188
1400000US11001009508,-0.147328676,0.019466663
1400000US11001009509,1.623631055,0.008805168
1400000US11001009601,-1.365715626,0.026801571
1400000US11001009602,-2.748283317,0.035124877
1400000US11001009603,-1.436420311,0.027227226
1400000US11001009604,0.469450089,0.015753544
