GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001007708,32.7,97.6,19.6,0,52.1,11.3,11.6,40.4,0,886,0.243944637,0.756055363,0.021626298,0.237024221,32,28,35.6,35534
1400000US11001007709,47.2,91.4,34.8,0,26.4,13.7,10.7,40.3,0,808,0.315954119,0.684045881,0.012513034,0.083420229,16.1,15.1,17.1,25451
1400000US11001007803,37.9,98.2,15.2,18.8,37.1,16.3,18.1,39.9,0.017482517,923,0.432677761,0.567322239,0.025718608,0.123298033,25.9,23.4,28.1,22685
1400000US11001007804,35.5,99.1,27.1,11.2,41.4,8.8,11,49.7,0,388,0.441712204,0.558287796,0.008196721,0.183060109,35.8,23.8,43.8,25208
1400000US11001007806,38.7,88,0,13.1,45.8,10,13.4,36.4,0,740,0.422552664,0.577447336,0.019826518,0.09913259,23,15.7,28.5,42171
1400000US11001007807,37.8,98.9,8.2,0,49.9,8.6,12,42.3,0,801,0.373449132,0.626550868,0.022332506,0.239454094,27.9,26.3,28.9,27917
1400000US11001007808,23.8,97,53.9,3.2,48.3,11.2,17,43.7,0,550,0.288709677,0.711290323,0.017741935,0.206451613,39.2,26.8,48.8,27531
1400000US11001007809,35.6,99,39.6,0,39.1,10.9,12.2,46.8,0,818,0.46728972,0.53271028,0.034834325,0.246389125,35,34.8,35.2,22109
1400000US11001007901,34.3,87.5,11.6,18.5,32.9,23.4,9.8,37.9,0,950,0.361772487,0.638227513,0.062830688,0.134259259,37.7,26.7,45.6,32692
1400000US11001007903,46.1,95.4,21.4,7.7,31.3,19.4,6.4,44.1,0.029880478,722,0.677462888,0.322537112,0.013495277,0.043184885,16.1,8.2,21.8,43304
1400000US11001008001,36,48.1,6.4,58.8,16.5,56,0.9,22.8,0.011248594,1345,0.728091728,0.271908272,0.046683047,0.009009009,11.7,1.2,19.2,89128
1400000US11001008002,34.4,39.1,4.3,36.9,15,55.4,5.9,23.5,0.007352941,1579,0.607918263,0.392081737,0.03192848,0.024265645,7.5,7.3,7.7,92874
1400000US11001008100,30.9,19.4,13.4,29,5.9,80,2.1,13.3,0.10916442,1430,0.534197264,0.465802736,0.01799856,0,6.6,3,10,132321
1400000US11001008200,30.7,3.7,0,70.9,3,90.8,2.1,13.2,0.285714286,1295,0.390419948,0.609580052,0,0,13,12.5,13.4,83214
1400000US11001008301,37.3,13.4,0,70.6,7.6,78.3,2.6,19,0.060333761,1478,0.674458874,0.325541126,0.051082251,0,7.3,9.9,4.3,115216
1400000US11001008302,33.5,11.5,0,100,4.2,91.6,0.9,14.7,0.04340836,1570,0.663113006,0.336886994,0,0,2.8,2.2,3.4,101667
1400000US11001008402,40.6,48.3,6.1,66.1,18,50.2,14.6,31.6,0.024767802,1097,0.309683605,0.690316395,0,0.060402685,19.7,2.9,31.2,54683
1400000US11001008410,35.6,77.5,35,0,23.1,40.4,9.3,24.6,0,1440,0.768953069,0.231046931,0.036101083,0.088447653,14.5,10.9,20.6,96667
1400000US11001008701,33.5,90.7,19,0,24.6,30.6,10,29.2,0,1507,0.723460026,0.276539974,0.074705111,0.055045872,8.3,2.8,12.5,64464
1400000US11001008702,40,78.6,10,26.1,26.1,20,11.6,40,0,534,0.457293035,0.542706965,0.05781866,0,16.8,15.2,18.3,41232
1400000US11001008802,35.7,86.2,22.9,15.5,27.8,23.9,12.4,35.6,0,900,0.467314965,0.532685035,0.016747704,0.063749325,27.4,23.7,30.7,38859
1400000US11001008803,28,62.1,0,9.5,42.4,18,6.5,37,0,792,0.19124424,0.80875576,0,0.122119816,32.9,38.1,27,37833
1400000US11001008804,41.8,96.8,62,0,33.4,8.8,10,40.8,0,913,0.248371336,0.751628664,0.005700326,0.106677524,40.3,43.6,36.7,25978
1400000US11001008903,35.7,96,13,0,42.7,9.4,14.5,27.4,0,867,0.196996466,0.803003534,0.034452297,0.184628975,29.4,28.4,30.5,26556
1400000US11001008904,38.7,96.4,34.6,0,36.8,14.3,15.4,33.4,0,695,0.094849246,0.905150754,0.005653266,0.093592965,25.8,27,24.7,27620
1400000US11001009000,50.2,97.3,0,51.8,21,29.6,1.9,43.8,0,351,0.375609756,0.624390244,0.011585366,0,16.9,14.4,18.6,39653
1400000US11001009102,32.4,90.1,18.3,8.1,37.5,13.5,8.4,41.4,0,605,0.391009852,0.608990148,0.009852217,0.259236453,32.8,30.5,35.1,32806
1400000US11001009201,33.6,62.1,41.9,0,19.4,40.9,3.8,34.3,0.09047619,924,0.406976744,0.593023256,0,0.141472868,19.4,14.7,23.4,44939
1400000US11001009203,32.4,76,10.3,31.3,25,30,11.1,32.8,0,935,0.508557457,0.491442543,0.009779951,0.080684597,12.4,16.5,7,51726
1400000US11001009204,41.2,84.9,16,4.2,31.5,16.7,8.3,36.4,0,811,0.107313196,0.892686804,0,0.067567568,24.4,19.4,28.4,28814
