OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
207,1400000US51059460300,41.4,2715,100.0,1351,49.8,1364,50.2,23,0.8
208,1400000US51059460600,37.9,4373,100.0,2251,51.5,2122,48.5,136,3.1
209,1400000US51059461000,39.9,2322,100.0,1127,48.5,1195,51.5,249,10.7
210,,,,,,,,,,
211,,,,,,,,,,
212,1400000US51059470600,44.7,2320,100.0,1088,46.9,1232,53.1,28,1.2
213,1400000US51059471000,38.3,1772,100.0,866,48.9,906,51.1,33,1.9
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,1400000US51059481000,29.2,3952,100.0,1988,50.3,1964,49.7,548,13.9
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,1400000US51013100100,39.5,4232,100.0,2060,48.7,2172,51.3,54,1.3
232,1400000US51013100400,45.9,3264,100.0,1595,48.9,1669,51.1,44,1.3
233,1400000US51013100800,35.6,1479,100.0,726,49.1,753,50.9,676,45.7
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,1400000US51013101900,37.2,2364,100.0,1198,50.7,1166,49.3,44,1.9
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,1400000US51013103402,45.7,3012,100.0,1531,50.8,1481,49.2,243,8.1
242,,,,,,,,,,
243,1400000US51510200103,32.1,6949,100.0,3367,48.5,3582,51.5,2393,34.4
244,,,,,,,,,,
245,1400000US51510200301,29.7,3508,100.0,1687,48.1,1821,51.9,901,25.7
246,,,,,,,,,,
247,1400000US51510200500,29.9,4241,100.0,1866,44.0,2375,56.0,1053,24.8
248,1400000US51510200600,36.2,4527,100.0,2224,49.1,2303,50.9,1119,24.7
249,,,,,,,,,,
250,,,,,,,,,,
251,1400000US51510200900,41.7,4518,100.0,2109,46.7,2409,53.3,172,3.8
252,1400000US51510201204,34.6,2924,100.0,1560,53.4,1364,46.6,1469,50.2
253,1400000US51510201600,32.3,4089,100.0,1958,47.9,2131,52.1,1857,45.4
254,1400000US51510202001,47.4,2145,100.0,1025,47.8,1120,52.2,66,3.1
255,,,,,,,,,,
256,1400000US51610500300,39.8,3385,100.0,1704,50.3,1681,49.7,129,3.8
257,1400000US51059415200,41.3,3032,100.0,1332,43.9,1700,56.1,106,3.5
258,1400000US51059415300,38.0,3783,100.0,1839,48.6,1944,51.4,613,16.2
259,,,,,,,,,,
260,1400000US51059415500,41.7,5744,100.0,2592,45.1,3152,54.9,1160,20.2
261,1400000US51059415600,48.4,2478,100.0,1193,48.1,1285,51.9,28,1.1
262,1400000US51059415700,44.1,3622,100.0,1743,48.1,1879,51.9,27,0.7
263,1400000US51059415800,44.1,4434,100.0,2196,49.5,2238,50.5,137,3.1
264,1400000US51059415900,46.2,3034,100.0,1473,48.5,1561,51.5,96,3.2
265,1400000US51059416100,47.1,3461,100.0,1679,48.5,1782,51.5,119,3.4
266,1400000US51059416200,25.4,4201,100.0,2130,50.7,2071,49.3,1238,29.5
267,1400000US51059416300,44.7,1750,100.0,887,50.7,863,49.3,26,1.5
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,1400000US51059420300,38.4,5210,100.0,2593,49.8,2617,50.2,414,7.9
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,1400000US51059420600,32.3,4396,100.0,2235,50.8,2161,49.2,790,18.0
276,1400000US51059420700,41.7,3689,100.0,1813,49.1,1876,50.9,272,7.4
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,1400000US51059421300,38.4,3833,100.0,1877,49.0,1956,51.0,485,12.7
283,1400000US51059421400,30.6,5945,100.0,2976,50.1,2969,49.9,2016,33.9
284,1400000US51059421500,30.9,5622,100.0,2777,49.4,2845,50.6,1697,30.2
285,,,,,,,,,,
286,,,,,,,,,,
287,1400000US51059421900,21.7,3059,100.0,1531,50.0,1528,50.0,1085,35.5
288,1400000US51059422000,39.8,2717,100.0,1324,48.7,1393,51.3,621,22.9
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,1400000US51059430400,38.5,6597,100.0,3279,49.7,3318,50.3,192,2.9
301,1400000US51059430600,32.3,6307,100.0,3317,52.6,2990,47.4,304,4.8
302,1400000US51059430700,37.7,2586,100.0,1304,50.4,1282,49.6,70,2.7
303,,,,,,,,,,
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,,
308,1400000US51059431300,38.1,4388,100.0,2150,49.0,2238,51.0,212,4.8
309,1400000US51059431400,38.9,4315,100.0,2107,48.8,2208,51.2,258,6.0
310,1400000US51059431500,41.5,4903,100.0,2384,48.6,2519,51.4,221,4.5
