OBJECTID,GEO.id,acs_ssm,acs_ssmf,acs_ssf,acs_sso
653,1400000US24031700811,0,0,5,1471
654,1400000US24031700812,12,22,19,1610
655,1400000US24031700101,0,0,0,1333
656,1400000US24031700103,11,19,9,1790
657,1400000US24031700104,11,24,0,1627
658,1400000US24031700204,0,0,0,691
659,1400000US24031700205,0,52,0,1723
660,1400000US24031700206,12,0,0,1896
661,1400000US24031700207,0,41,0,1777
662,1400000US24031700208,0,0,20,628
663,1400000US24031700306,0,83,0,2329
664,1400000US24031700813,0,13,6,1958
665,1400000US24031700816,0,61,14,2844
666,1400000US24031700817,0,118,0,2233
667,1400000US24031700818,0,134,0,2347
668,1400000US24031700819,17,47,0,2152
669,1400000US24031700822,0,11,0,652
670,1400000US24031700823,0,14,12,1052
671,1400000US24033803300,0,94,8,1391
672,1400000US24033803401,0,16,0,437
673,1400000US24033803402,0,98,0,1563
674,1400000US24033803508,0,108,0,1501
675,1400000US24033803509,0,43,20,854
676,1400000US24033803513,0,0,0,2063
677,1400000US24033803514,0,76,0,1748
678,1400000US24033803516,0,61,0,1617
679,1400000US24033806711,0,0,50,1352
680,1400000US24033806713,0,82,0,1242
681,1400000US24033806714,24,90,0,1163
682,1400000US24033806800,0,13,5,1274
683,1400000US24033806900,11,23,0,1307
684,1400000US24033807000,0,50,13,1762
685,1400000US24033807102,0,28,3,928
686,1400000US24033807200,0,0,0,1247
687,1400000US24033807301,0,53,0,1306
688,1400000US24033807305,0,22,12,963
689,1400000US24033807404,11,0,0,1527
690,1400000US24033807407,0,24,14,2052
691,1400000US24033807408,0,31,14,2197
692,1400000US24033807409,0,0,4,1077
693,1400000US24033807410,0,74,0,1316
694,1400000US24033803520,0,7,0,1345
695,1400000US24033803521,0,0,9,1574
696,1400000US24033803522,0,0,0,1375
697,1400000US24033803523,0,14,0,1179
698,1400000US24033803524,0,19,0,1130
699,1400000US24033803526,0,91,0,1125
700,1400000US24033803527,0,14,0,1073
701,1400000US24033803601,0,10,12,1115
