GEO.id,HC03_VC73,HC03_EST_VC01,AIDS_Cases
24033803602,93.8,14,
24033803605,55,10.5,
24033803606,43.1,3,
24033803607,66.7,2,
24033803608,69,6.3,
24033803610,51.7,8.2,
24033803612,84.7,14.9,
24033803613,71.2,4.6,
24033803700,43.3,8.2,
24033803801,54,13.8,
24033803803,62.8,9.2,
24033803900,30,7.9,
24033804001,87.7,13,
24033804002,35.8,12.3,
24033804101,75.1,4.7,
24033804102,63.4,14.8,
24033804200,46.4,9.5,
24033804300,61.2,18.1,
24033804400,42.4,12.7,
24033804600,38.5,14,
24033804700,41.7,13.5,
24033804801,80.6,16,
24033804802,65.2,21.6,
24033804900,82.4,21.3,
24033805000,65.5,14.2,
24033805101,42.2,6.5,
24033805201,53.3,22.9,
24033805202,70.9,13,
24033805500,39.3,10.2,
24033805601,6.7,26.8,
24033805602,9.7,21.3,
24033805700,30.6,13.7,
24033805801,33.1,17.6,
24033805802,34.4,13.6,
24033805904,37.1,19.3,
24033805906,37.3,16.1,
24033805907,53.6,14.7,
24033805908,65,16.7,
24033805909,50,19.8,
24033806000,33.1,16.2,
24033806100,38.5,3.7,
24033806200,34.1,2.9,
24033806300,34.7,5.9,
24033806400,9,4.6,
24033806501,32.2,11.6,
24033806601,29.3,15.7,
24033806602,50.8,12.1,
24033806706,49.4,16.1,
24033806708,32.2,13.6,
24033806710,63.6,1.4,
24033806711,70.9,9.1,
24033806712,67.9,2.1,
24033806713,67.7,20.7,
24033806714,66.6,4.8,
24033806800,13.9,4.3,
24033806900,15.3,6.9,
24033807000,15.1,27.9,
24033807102,24.8,9.6,
24033807200,13.3,67.1,
24033807301,29.2,23.9,
24033807304,20.8,5.3,
24033807305,40.3,5.4,
24033807404,26.4,2.7,
24033807405,18.8,4.6,
24033807407,42.6,1.9,
24033807408,27.6,2,
24033807409,53.4,13.8,
24033807410,55.6,7.1,
51013100100,2.6,0.9,
51013100200,2.7,1.7,
51013100300,4.1,1.2,
51013100400,0,0.2,
51013100500,0.3,4.3,
51013100600,6.2,4.7,
51013100700,5,2.2,
51013100800,29.8,4.3,
51013100900,4.4,4.8,
51013101000,4.1,4,
51013101100,4.3,1.6,
51013101200,4.2,4.8,
51013101300,0.6,1.7,
51013101401,9.7,5.3,
51013101402,0,4.6,
51013101403,2.9,4.5,
51013101404,4.8,4.2,
51013101500,4.6,6.6,
51013101601,1.3,8.4,
51013101602,4,5.4,
51013101603,1.6,7.7,
51013101701,11,10.7,
51013101702,4.4,17.5,
51013101703,7.7,13.1,
51013101801,5.7,2.1,
51013101802,8.6,4.5,
51013101803,12.3,5.2,
51013101900,2.5,0.4,
51013102001,4.2,9.1,
51013102002,7.3,14.3,
51013102003,7.4,12,
51013102100,3,16,
51013102200,22.1,24.7,
51013102301,0,1.8,
51013102302,6.1,11.8,
51013102400,11.4,6.7,
51013102500,17.5,3.1,
51013102600,9.2,2.8,
51013102701,28,18,
51013102702,13.1,17.5,
51013102801,20.3,4.2,
51013102802,13,4.6,
51013102901,4,2.7,
51013102902,5.5,6.3,
51013103000,4.4,4.8,
51013103100,46.5,10.6,
51013103200,21,10,
51013103300,31.1,22.6,
51013103401,13,0,
51013103402,16.6,5.1,
51013103501,2.4,7.6,
51013103502,12.2,21.6,
51013103503,8.8,5.1,
51013103601,3.8,1.3,
51013103602,0.6,10.9,
51013103700,2.3,3.5,
51013103800,29.2,8.7,
51013980100,-,-,
51013980200,0,0,
51059415100,12.9,6.8,
51059415200,2.5,3.9,
51059415300,14.9,3.9,
51059415401,42.5,6.8,
51059415402,11.2,4.9,
51059415500,21,8.5,
51059415600,1.3,0,
51059415700,1.5,0,
51059415800,3.2,1.6,
51059415900,7.6,0,
51059416000,15.9,14.9,
51059416100,4.2,3.7,
51059416200,31.3,2.1,
51059416300,17.4,2.7,
51059420100,12.7,14.7,
51059420201,15.4,1.5,
51059420202,15.3,0.3,
51059420203,12.7,4.1,
51059420300,11.8,2,
51059420400,11.6,5.4,
51059420501,10.3,7.4,
51059420502,24.1,9.8,
51059420503,19.2,9.5,
51059420600,18.9,4.9,
51059420700,5.7,0.8,
51059420800,11.6,9,
51059421001,11.5,1.1,
51059421002,21.2,4.9,
51059421101,18.4,0.5,
51059421102,7.7,4.1,
51059421103,13.7,1.5,
51059421200,9.7,0,
51059421300,17.2,2.2,
51059421400,39.9,16.1,
51059421500,24.5,17.4,
