OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
475,1400000US51013101601,435,0.0,970,73.8,73.8,30,2.3,29,24.0,648,648
476,1400000US51013101603,1094,1.9,2491,82.5,82.5,106,3.5,85,12.2,1321,1321
477,1400000US51013101701,1208,0.5,2280,71.6,71.6,70,2.2,0,25.7,1465,1465
478,1400000US51013101702,1618,0.3,2876,77.2,77.2,92,2.5,126,20.0,2075,2075
479,1400000US51013101801,699,2.5,1592,83.4,83.4,85,4.5,201,9.6,849,849
480,1400000US51013101802,1895,1.7,4188,86.4,86.4,76,1.6,176,10.4,2209,2209
481,1400000US51013101803,1683,1.5,3314,86.2,86.2,99,2.6,92,9.8,1947,1947
482,1400000US51013102001,547,0.0,1082,77.2,77.2,85,6.1,9,16.8,671,671
483,1400000US51013102002,414,0.8,1078,85.4,85.4,0,0.0,15,13.8,548,548
484,1400000US51013102003,1057,0.0,2408,71.3,71.3,73,2.2,46,26.5,1517,1517
485,1400000US51013102100,828,0.4,1339,62.5,62.5,51,2.4,129,34.7,1339,1339
486,1400000US51013102200,1768,0.3,3618,70.4,70.4,290,5.6,140,23.7,2518,2518
487,1400000US51013102302,1040,1.1,2559,70.6,70.6,75,2.1,206,26.2,1680,1680
488,1400000US51013102400,1071,1.1,2320,78.5,78.5,90,3.0,127,17.4,1380,1380
489,1400000US51013102500,1599,1.8,3123,75.1,75.1,189,4.5,292,18.6,2080,2080
490,1400000US51013102600,1351,0.7,2179,80.9,80.9,65,2.4,259,16.0,1586,1586
491,1400000US51013102701,904,0.8,2136,77.7,77.7,106,3.9,74,17.6,1274,1274
492,1400000US51013102801,1669,0.5,3626,75.0,75.0,240,5.0,216,19.5,2124,2124
493,1400000US51013102802,310,0.0,697,69.8,69.8,0,0.0,138,30.2,493,493
494,1400000US51013102901,1195,2.6,2070,86.6,86.6,58,2.4,240,8.4,1362,1362
495,1400000US51013103000,1321,3.3,2136,74.1,74.1,59,2.0,234,20.5,1659,1659
496,1400000US51013103100,1480,5.1,2537,66.4,66.4,133,3.5,133,25.0,2127,2127
497,1400000US51013103200,1521,4.1,3208,75.0,75.0,117,2.7,291,18.2,2028,2028
498,1400000US51013103300,753,0.0,1432,71.2,71.2,44,2.2,86,26.6,1040,1040
499,1400000US51013103401,265,83.5,197,12.1,12.1,33,2.0,20,2.4,295,295
500,1400000US51013103501,1376,1.4,2296,76.7,76.7,21,0.7,153,21.3,1814,1814
501,1400000US51013103502,775,5.1,1570,57.6,57.6,40,1.5,21,35.9,1488,1488
502,1400000US51013103503,1236,3.3,2737,80.2,80.2,21,0.6,150,15.9,1576,1576
503,1400000US51013103601,787,1.4,1498,74.5,74.5,32,1.6,165,22.5,1071,1071
504,1400000US51013103700,638,2.6,1331,67.2,67.2,66,3.3,98,26.9,942,942
505,1400000US51013103800,1353,3.9,2764,75.1,75.1,111,3.0,118,18.0,1772,1772
506,1400000US51013980100,0,-,0,-,-,0,-,0,-,0,0
507,1400000US51013980200,0,32.1,19,67.9,67.9,0,0.0,0,0.0,0,0
508,1400000US51059491103,1655,0.0,3931,76.4,76.4,228,4.4,325,19.2,2278,2278
509,1400000US51510201300,990,1.7,1964,73.1,73.1,135,5.0,197,20.2,1298,1298
510,1400000US51510201400,1496,0.5,2676,78.7,78.7,172,5.1,272,15.8,1808,1808
511,1400000US51510201500,984,0.9,1934,58.0,58.0,8,0.2,173,40.9,1869,1869
512,1400000US51510201801,1875,3.3,3295,75.5,75.5,74,1.7,163,19.5,2371,2371
513,1400000US51510201802,590,2.6,1075,67.7,67.7,54,3.4,151,26.3,825,825
514,1400000US51510201900,697,1.8,1277,86.3,86.3,53,3.6,82,8.2,750,750
515,1400000US51510202002,857,1.6,1572,70.5,70.5,124,5.6,46,22.3,1238,1238
516,1400000US51510200102,1081,0.5,2434,71.7,71.7,116,3.4,144,24.4,1517,1517
517,1400000US51510200104,1002,2.1,2067,74.2,74.2,94,3.4,52,20.3,1448,1448
518,1400000US51510200105,1276,0.0,3003,84.8,84.8,67,1.9,88,13.4,1493,1493
519,1400000US51510200106,765,2.5,1284,48.2,48.2,109,4.1,173,45.2,1577,1577
